,Municipality,Type[1],County[2],Form of government[1],Population (2020)[2],Total area,,,Year established[3]
143,Ipswich,Town,Essex,Open town meeting,13785,42.5 sq mi ,110.07 km2),,1634
144,Kingston,Town,Plymouth,Open town meeting,13708,20.5 sq mi ,53.09 km2),,1726
145,Lakeville,Town,Plymouth,Open town meeting,11523,36.1 sq mi ,93.50 km2),,1853
146,Lancaster,Town,Worcester,Open town meeting,8441,28.2 sq mi ,73.04 km2),,1653
147,Lanesborough,Town,Berkshire,Open town meeting,3038,29.6 sq mi ,76.66 km2),,1765
148,Lawrence,City,Essex (seat),Mayor-Council,89143,7.4 sq mi ,19.17 km2),,1847
149,Lee,Town,Berkshire,Open town meeting,5788,27.0 sq mi ,69.93 km2),,1777
150,Leicester,Town,Worcester,Open town meeting,11087,24.7 sq mi ,63.97 km2),,1714
151,Lenox,Town,Berkshire,Open town meeting,5095,21.7 sq mi ,56.20 km2),,1775
152,Leominster,City,Worcester,Mayor-Council,43782,29.7 sq mi ,76.92 km2),,1740
153,Leverett,Town,Franklin,Open town meeting,1865,23.0 sq mi ,59.57 km2),,1774
154,Lexington,Town,Middlesex,Representative town meeting,34454,16.5 sq mi ,42.73 km2),,1713
155,Leyden,Town,Franklin,Open town meeting,734,18.0 sq mi ,46.62 km2),,1809
156,Lincoln,Town,Middlesex,Open town meeting,7014,15.0 sq mi ,38.85 km2),,1754
157,Littleton,Town,Middlesex,Open town meeting,10141,17.6 sq mi ,45.58 km2),,1715
158,Longmeadow,Town,Hampden,Open town meeting,15853,9.7 sq mi ,25.12 km2),,1783
159,Lowell,City,Middlesex (seat),Mayor-Manager-Council,115554,14.5 sq mi ,37.55 km2),,1826
160,Ludlow,Town,Hampden,Representative town meeting,21002,28.2 sq mi ,73.04 km2),,1775
161,Lunenburg,Town,Worcester,Open town meeting,11782,27.7 sq mi ,71.74 km2),,1728
162,Lynn,City,Essex,Mayor-Council,101253,13.5 sq mi ,34.96 km2),,1629
163,Lynnfield,Town,Essex,Open town meeting,13000,10.5 sq mi ,27.19 km2),,1814
164,Malden,City,Middlesex,Mayor-Council,66263,5.1 sq mi ,13.21 km2),,1649
165,Manchester-by-the-Sea,Town,Essex,Open town meeting,5395,18.3 sq mi ,47.40 km2),,1645
166,Mansfield,Town,Bristol,Open town meeting,23860,20.7 sq mi ,53.61 km2),,1775
167,Marblehead,Town,Essex,Open town meeting,20441,19.6 sq mi ,50.76 km2),,1629
168,Marion,Town,Plymouth,Open town meeting,5347,26.1 sq mi ,67.60 km2),,1852
169,Marlborough,City,Middlesex,Mayor-Council,41793,22.1 sq mi ,57.24 km2),,1660
170,Marshfield,Town,Plymouth,Open town meeting,25825,31.7 sq mi ,82.10 km2),,1640
